"11111";"Rafael";"M";"46";"rafael@email.com";"";"0.00"
"22222";"Denise";"F";"53";"denise@email.com";"";"0.00"
"33333";"Beatriz";"F";"25";"beatriz@email.com";"";"0.00"
"44444";"Pedro";"M";"21";"pedro@email.com";"";"250.00"
"55555";"Rafaela";"F";"21";"rafaela@email.com";"";"250.00"
"66666";"Marcus";"M";"35";"beatriz@email.com";"";"250.00"
"77777";"Ariel";"M";"25";"ariel@email.com";"";"250.00"
"88888";"Mateus";"M";"21";"mateus@email.com";"";"0.00"
"99999";"Davi";"M";"18";"davi@email.com";"";"250.00"

